% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.376836038e+06 +1.376836038e+06 +1.376905838e+06 +1.376905838e+06 +2.9745e+00 +3.9765e+00 +5.7395e-01 +6.7276e-01 +3.2971e+00 +2.5768e+00 +1.7508e+00 +1.7852e+00 +1.8285e+00 -6.4172e-01 +3.6250e+00 +2.5656e+00 +6.8860e-02 +4.6638e+00 +4.0458e+00 +2.7277e+00 -2.4614e+00 -2.2478e+00 +2.0423e+00 -1.8197e+00
2 +5.852405642e+05 +5.852405642e+05 +5.853103642e+05 +5.853103642e+05 +1.1658e+00 +2.3149e+00 +4.1596e+00 +1.2811e+00 -1.5849e+00 -1.0853e-01 -1.1469e+00 +4.3672e+00 +2.8689e+00 +1.1202e+00 +3.3795e+00 +2.3084e-01 +3.1688e+00 +1.6539e+00 +4.5544e+00 -2.1266e-01 -3.8370e-01 +4.9067e-01 -2.9415e+00 -5.3245e-01
7 +3.011483712e+05 +3.011483712e+05 +3.012181712e+05 +3.012181712e+05 -4.8129e+00 +4.2342e+00 +1.4270e+00 -1.3879e+00 -1.4089e+00 -1.8462e+00 +3.8452e+00 +4.4153e+00 +4.0714e+00 -1.0620e+00 -3.2946e+00 -4.2899e+00 +2.8438e+00 +1.7384e+00 +1.9635e+00 -2.7397e+00 -2.9207e+00 +3.0266e+00 -3.1075e+00 +1.8010e+00
73 +2.092290160e+05 +2.092290160e+05 +2.092988160e+05 +2.092988160e+05 -4.0651e+00 -1.9560e+00 -1.5885e+00 -2.2758e+00 -1.2548e+00 -2.2092e+00 -2.7389e+00 +4.4382e+00 +4.5020e+00 -3.2423e+00 +1.6481e+00 -1.4713e+00 +2.9988e+00 +3.0869e+00 -5.2858e-01 +2.3682e+00 +1.2962e+00 +4.0067e+00 -7.8033e-01 -2.6736e-01
% function evaluation | noise-free fitness - Fopt (1.105400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.218168305e+05 +6.218168305e+05 +6.219273705e+05 +6.219273705e+05 +1.2347e+00 -1.2714e+00 -1.0699e+00 +3.7298e+00 +4.6726e+00 -6.0837e-01 +9.5753e-01 +3.0649e+00 -6.5620e-01 -1.1918e+00 +4.8800e+00 -9.0861e-01 +2.7262e+00 -1.3745e+00 -2.4455e+00 +3.9074e+00 +3.0651e+00 +1.6760e+00 -2.0702e+00 -6.0202e-01
12 +3.578126201e+05 +3.578126201e+05 +3.579231601e+05 +3.579231601e+05 +2.6695e+00 +2.6641e+00 +3.6672e+00 +2.5049e+00 -1.3073e+00 +3.6240e+00 +7.3833e-01 -3.7914e+00 +3.6611e+00 +4.4829e+00 +5.8794e-01 -1.5622e+00 -4.7643e+00 -1.9498e+00 -4.6553e+00 +1.8887e+00 +3.9639e-01 +5.3598e-03 +2.1736e+00 +2.9017e+00
116 +1.563072977e+05 +1.563072977e+05 +1.564178377e+05 +1.564178377e+05 -4.9033e+00 +3.4683e+00 -1.3587e-01 +1.0716e+00 +2.8095e+00 +3.8797e+00 +1.9856e+00 -1.6796e+00 +1.9129e-01 +3.9168e+00 -2.1779e+00 -2.7992e+00 -4.0544e+00 -1.4727e+00 -3.7894e+00 +3.2261e-01 +3.5528e+00 +3.4894e+00 -1.1887e+00 +4.4689e+00
% function evaluation | noise-free fitness - Fopt (6.121000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.018190518e+06 +1.018190518e+06 +1.018802618e+06 +1.018802618e+06 +2.8205e+00 -3.1688e+00 +4.2416e+00 +1.3912e+00 +1.2561e+00 -4.2937e-01 +3.1833e+00 +7.8926e-01 -3.1649e+00 +3.7493e+00 -2.1204e+00 +4.2037e+00 -3.3497e+00 -1.9468e+00 +4.2644e+00 +1.2940e+00 -2.2182e+00 +2.8995e-01 +4.0952e+00 -3.0042e+00
